,p_low,entropy_max,area_max,alpha,accuracy_conf,inconclusive_rate,precision_conf,recall_conf,f1_conf,counts_neg,counts_pos,counts_inc
260,0.22,2.2,0.25,0.3,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
261,0.22,2.2,0.25,0.4,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
262,0.22,2.2,0.25,0.5,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
263,0.22,2.2,0.25,0.6,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
264,0.22,2.2,0.25,0.7,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
265,0.22,2.2,0.2,0.3,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
266,0.22,2.2,0.2,0.4,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
267,0.22,2.2,0.2,0.5,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
268,0.22,2.2,0.2,0.6,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
269,0.22,2.2,0.2,0.7,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
270,0.22,2.2,0.15,0.3,0.7634408602150538,0.628,0.48484848484848486,0.37209302325581395,0.42105263157894735,153,33,314
271,0.22,2.2,0.15,0.4,0.7606382978723404,0.624,0.4857142857142857,0.38636363636363635,0.43037974683544306,153,35,312
272,0.22,2.2,0.15,0.5,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
273,0.22,2.2,0.15,0.6,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
274,0.22,2.2,0.15,0.7,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
275,0.22,2.6,,0.3,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
276,0.22,2.6,,0.4,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
277,0.22,2.6,,0.5,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
278,0.22,2.6,,0.6,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
279,0.22,2.6,,0.7,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
280,0.22,2.6,0.3,0.3,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
281,0.22,2.6,0.3,0.4,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
282,0.22,2.6,0.3,0.5,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
283,0.22,2.6,0.3,0.6,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
284,0.22,2.6,0.3,0.7,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
285,0.22,2.6,0.25,0.3,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
286,0.22,2.6,0.25,0.4,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
287,0.22,2.6,0.25,0.5,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
288,0.22,2.6,0.25,0.6,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
289,0.22,2.6,0.25,0.7,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
290,0.22,2.6,0.2,0.3,0.7142857142857143,0.566,0.453125,0.5178571428571429,0.48333333333333334,153,64,283
291,0.22,2.6,0.2,0.4,0.7117117117117117,0.556,0.463768115942029,0.5423728813559322,0.5,153,69,278
292,0.22,2.6,0.2,0.5,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
293,0.22,2.6,0.2,0.6,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
